BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback,ElevationEligible
46007,-72.4235,40.87869,RES1,RES,R12N,339779.6,169889.8,12.452,12.952,Above DFE,0,0,0
46009,-72.4374,40.8764,RES1,RES,R11N,269533.3,134766.7,12.9193,14.4193,Above DFE,0,0,0
46010,-72.4273,40.8828,RES1,RES,R11B,130910.2,65455.08,24.5217,26.5217,Above DFE,0,0,0
46011,-72.43,40.88138,RES1,RES,R11N,106616.1,53308.03,25.0269,25.5269,Above DFE,0,0,0
46012,-72.4312,40.87204,RES1,RES,R11B,364147,182073.5,11.3916,13.3916,Above DFE,0,0,0
46013,-72.4315,40.87291,GOV1,NONRES,G1LB,836764.9,418382.4,11.3167,13.3167,Above DFE,0,0,0
46015,-72.4361,40.88395,RES1,RES,R13N,721683.2,360841.6,20.6135,22.1135,Above DFE,0,0,0
46016,-72.4401,40.87319,RES1,RES,R12N,263765.7,131882.8,7.2458,8.7458,Under DFE,0,0,1
46017,-72.4368,40.88144,RES1,RES,R12N,521412.4,260706.2,7.1535,8.6535,Under DFE,0,0,1
46018,-72.4259,40.87182,RES1,RES,R12N,194995.2,97497.6,5.5621,7.0621,Under DFE,0,0,1
46019,-72.4399,40.87258,RES1,RES,R11N,267118.8,133559.4,7.5362,9.0362,Under DFE,0,0,0
46021,-72.4297,40.87806,RES1,RES,R12B,465657.5,232828.7,18.7085,20.7085,Above DFE,0,0,0
46022,-72.4324,40.88114,RES1,RES,R12N,366392.2,183196.1,21.8832,22.3832,Above DFE,0,0,0
46023,-72.424,40.87318,RES1,RES,R12B,156396.7,78198.33,11.5352,13.5352,Above DFE,0,0,0
46024,-72.4253,40.87966,RES1,RES,R12B,357002.1,178501.1,19.9912,21.9912,Above DFE,0,0,0
46025,-72.4276,40.86942,RES1,RES,R12N,245080,122540,10.568,12.068,Above DFE,0,0,0
46026,-72.4296,40.87458,RES1,RES,R12B,378359.1,189179.6,13.946,15.946,Above DFE,0,0,0
46027,-72.4343,40.87742,RES1,RES,R11B,274295.4,137147.7,15.8474,17.8474,Above DFE,0,0,0
46028,-72.4348,40.87832,RES1,RES,R11B,201884,100942,17.17,19.17,Above DFE,0,0,0
46029,-72.4356,40.87691,RES1,RES,R12N,195208.4,97604.18,15.0571,16.5571,Above DFE,0,0,0
46031,-72.424,40.87348,RES3A,RES,R3A1B,593792.9,296896.4,12.4936,14.4936,Above DFE,0,0,0
46032,-72.4231,40.8805,RES1,RES,R12N,389625.2,194812.6,14.2125,14.7125,Above DFE,0,0,0
46033,-72.4352,40.87296,RES1,RES,R11B,198077.4,99038.7,11.2481,13.2481,Above DFE,0,0,0
46034,-72.4257,40.87024,RES1,RES,R11N,76537.02,38268.51,7.5649,9.0649,Under DFE,0,0,0
46035,-72.4269,40.86955,RES1,RES,R12N,259836.1,129918.1,9.2706,10.7706,Under DFE,0,0,0
46036,-72.4271,40.86731,RES1,RES,R12N,369880.8,184940.4,8.9044,9.4044,Under DFE,0,0,0
46037,-72.4266,40.88271,RES1,RES,R12N,438467,219233.5,24.6117,25.1117,Above DFE,0,0,0
46039,-72.4278,40.86882,RES1,RES,R12N,286250.3,143125.1,9.8529,10.3529,Under DFE,0,0,0
46040,-72.4301,40.87198,COM4,NONRES,C4LB,1219627,609813.8,13.6398,15.6398,Above DFE,0,0,0
46041,-72.4332,40.87556,RES1,RES,R12N,255277.4,127638.7,11.0838,11.5838,Above DFE,0,0,0
46042,-72.4334,40.87289,RES1,RES,R11B,274370.6,137185.3,9.8479,11.8479,Above DFE,0,0,0
